Name,Age,StudyHours,Attendance,PreviousMarks,Assignments,InternetAccess,SleepHours,FinalMarks,Result
Aarav_1,21,3.5,69.8,55.0,72.6,Yes,6.3,59.1,Pass
Vivaan_2,21,4.5,63.4,34.0,77.0,Yes,5.8,53.1,Pass
Aditya_3,21,5.9,69.5,65.8,74.2,Yes,7.2,70.9,Pass
Arjun_4,18,4.4,68.1,51.6,85.5,Yes,6.3,59.2,Pass
Kabir_5,18,7.0,69.7,71.9,60.4,Yes,7.0,73.5,Pass
Rohan_6,21,5.3,,48.2,64.3,Yes,5.5,52.7,Pass
Rahul_7,21,3.8,59.9,37.1,50.3,Yes,7.7,51.2,Pass
Aman_8,20,5.1,67.9,46.9,81.5,Yes,5.7,52.3,Pass
Priya_9,20,2.7,69.6,30.1,69.2,No,7.3,51.1,Pass
Neha_10,20,1.0,65.1,,47.0,Yes,7.7,42.6,Pass
Ananya_11,22,2.9,66.7,50.7,65.6,Yes,7.1,57.2,Pass
Ishita_12,18,5.3,65.9,57.8,57.5,No,6.0,56.6,Pass
Kavya_13,18,4.2,67.1,52.5,51.4,Yes,4.1,53.2,Pass
Sneha_14,22,3.5,74.6,46.5,,Yes,4.7,57.2,Pass
Pooja_15,18,4.0,62.4,64.8,75.0,Yes,6.7,61.6,Pass
Nisha_16,22,7.7,70.5,76.5,100.0,Yes,9.0,86.5,Pass
Meera_17,20,3.1,60.5,49.3,74.5,No,8.0,51.9,Pass
Simran_18,18,5.6,,70.1,77.3,Yes,7.5,62.4,Pass
Riya_19,20,4.2,67.5,54.7,72.2,Yes,7.3,63.2,Pass
Anjali_20,18,4.9,76.6,68.9,74.8,Yes,5.2,65.6,Pass
Aarav_21,21,7.3,81.8,66.1,73.0,Yes,6.9,72.8,Pass
Vivaan_22,18,4.3,71.9,59.1,59.4,Yes,7.0,52.7,Pass
Aditya_23,20,3.4,72.2,43.2,69.9,Yes,7.6,60.3,Pass
Arjun_24,20,7.0,94.7,67.8,72.5,Yes,7.7,74.2,Pass
Kabir_25,20,2.0,55.2,57.3,66.7,No,6.8,42.2,Pass
Rohan_26,21,5.6,73.5,61.9,80.4,No,6.0,57.8,Pass
Rahul_27,18,3.8,64.2,60.4,64.9,Yes,5.9,56.9,Pass
Aman_28,19,4.0,60.8,62.9,60.5,Yes,7.2,66.2,Pass
Priya_29,19,6.4,81.5,,100.0,Yes,8.1,81.8,Pass
Neha_30,21,2.7,80.5,37.7,70.5,Yes,6.4,54.1,Pass
Ananya_31,19,4.7,80.2,59.1,57.7,Yes,7.3,55.1,Pass
Ishita_32,21,4.8,75.3,74.0,61.6,Yes,5.5,54.0,Pass
Kavya_33,19,4.1,82.6,52.5,62.3,Yes,8.6,62.5,Pass
Sneha_34,22,6.2,89.9,54.1,94.4,Yes,8.1,68.4,Pass
Pooja_35,18,4.3,67.9,54.0,60.5,No,7.5,60.1,Pass
Nisha_36,21,5.0,62.5,74.7,,Yes,6.7,60.1,Pass
Meera_37,19,5.5,80.3,79.9,76.6,Yes,7.1,77.0,Pass
Simran_38,21,2.1,72.6,40.0,76.6,Yes,6.6,52.8,Pass
Riya_39,18,3.4,71.6,44.1,55.0,Yes,6.9,49.0,Pass
Anjali_40,18,3.4,79.5,41.9,74.8,Yes,8.8,56.8,Pass
Aarav_41,19,7.1,82.3,77.8,86.8,Yes,7.4,74.4,Pass
Vivaan_42,20,5.5,75.2,74.0,66.6,Yes,8.4,67.2,Pass
Aditya_43,18,4.4,59.7,54.1,99.5,Yes,6.2,58.8,Pass
Arjun_44,21,5.0,67.6,77.2,80.7,Yes,5.8,61.0,Pass
Kabir_45,20,4.9,,62.4,86.3,Yes,6.9,66.0,Pass
Rohan_46,22,4.6,60.2,43.8,68.8,Yes,7.1,53.2,Pass
Rahul_47,22,4.3,80.9,38.2,82.2,No,6.8,52.5,Pass
Aman_48,22,8.1,68.0,83.2,93.2,Yes,7.6,86.1,Pass
Priya_49,21,5.3,76.8,67.7,67.5,Yes,6.9,70.9,Pass
Neha_50,20,5.2,75.5,56.8,73.2,Yes,6.1,57.4,Pass
Ananya_51,18,7.7,96.5,72.5,93.3,Yes,6.0,77.3,Pass
Ishita_52,19,3.1,61.4,43.3,47.1,Yes,6.3,46.1,Pass
Kavya_53,18,7.2,75.6,62.9,85.9,No,7.5,79.8,Pass
Sneha_54,19,3.3,68.1,64.1,57.0,Yes,6.2,63.0,Pass
Pooja_55,20,6.0,78.2,42.9,66.0,Yes,6.8,60.4,Pass
Nisha_56,22,7.2,86.7,58.8,74.6,Yes,6.0,65.5,Pass
Meera_57,21,6.8,69.8,,91.8,Yes,7.0,78.5,Pass
Simran_58,20,7.6,82.1,91.5,100.0,No,5.8,82.3,Pass
Riya_59,22,8.2,90.7,72.1,82.6,Yes,7.9,71.8,Pass
Anjali_60,20,6.0,72.4,46.7,94.6,No,7.0,55.3,Pass
Aarav_61,18,5.5,80.6,60.0,55.9,No,4.7,60.5,Pass
Vivaan_62,20,2.2,70.0,26.4,76.3,Yes,8.4,43.2,Pass
Aditya_63,21,4.6,62.6,57.4,77.6,Yes,6.4,56.9,Pass
Arjun_64,20,4.6,79.5,55.9,67.2,Yes,4.7,61.5,Pass
Kabir_65,19,4.8,65.3,53.4,66.3,Yes,6.9,67.8,Pass
Rohan_66,20,7.0,74.5,63.4,85.8,Yes,6.5,59.3,Pass
Rahul_67,19,5.8,88.1,61.7,75.3,Yes,7.2,65.2,Pass
Aman_68,20,3.7,68.6,67.2,,Yes,6.0,47.9,Pass
Priya_69,19,7.6,83.4,73.7,74.2,Yes,6.5,64.9,Pass
Neha_70,19,5.5,86.1,63.2,63.9,Yes,6.4,73.8,Pass
Ananya_71,20,2.8,55.7,51.0,67.4,Yes,4.7,48.1,Pass
Ishita_72,18,4.8,69.9,54.9,62.7,Yes,6.2,53.7,Pass
Kavya_73,18,5.6,68.0,65.4,72.5,Yes,7.2,64.9,Pass
Sneha_74,21,8.7,,83.6,96.8,Yes,8.0,85.9,Pass
Pooja_75,22,4.5,62.7,60.0,40.1,Yes,7.1,50.4,Pass
Nisha_76,22,6.9,79.2,77.4,62.7,Yes,8.9,64.9,Pass
Meera_77,19,4.4,76.5,67.0,74.7,Yes,4.3,57.9,Pass
Simran_78,18,6.3,82.2,72.7,75.1,No,6.3,65.4,Pass
Riya_79,18,6.4,90.0,65.9,78.1,Yes,6.3,69.6,Pass
Anjali_80,22,4.5,65.3,64.2,69.9,Yes,8.5,66.7,Pass
Aarav_81,20,6.8,96.5,87.0,63.2,Yes,7.5,67.7,Pass
Vivaan_82,22,5.9,81.8,51.2,85.9,Yes,7.3,72.9,Pass
Aditya_83,21,6.4,90.1,75.7,84.2,Yes,7.5,72.3,Pass
Arjun_84,22,4.9,78.8,71.1,65.1,Yes,7.6,62.1,Pass
Kabir_85,19,5.5,73.2,77.9,77.7,Yes,5.6,65.6,Pass
Rohan_86,19,5.8,96.4,62.2,74.5,No,6.9,74.1,Pass
Rahul_87,21,7.7,87.3,67.8,81.7,Yes,6.2,73.0,Pass
Aman_88,21,5.6,83.4,47.8,88.3,Yes,7.9,63.3,Pass
Priya_89,22,3.9,70.6,,62.0,No,5.2,43.6,Pass
Neha_90,20,2.8,62.7,38.9,57.5,Yes,4.1,43.7,Pass
Ananya_91,18,7.4,66.1,62.8,87.2,No,6.5,64.6,Pass
Ishita_92,21,3.1,67.0,41.0,49.3,Yes,8.1,47.3,Pass
Kavya_93,22,2.9,76.9,52.2,71.2,Yes,7.0,65.1,Pass
Sneha_94,21,4.5,42.2,54.3,69.9,Yes,6.9,52.4,Pass
Pooja_95,19,7.0,68.9,66.7,,Yes,7.7,77.2,Pass
Nisha_96,18,2.6,66.8,48.2,43.9,Yes,7.6,39.1,Fail
Meera_97,20,3.3,72.3,49.3,57.8,Yes,7.0,54.4,Pass
Simran_98,21,2.5,56.5,49.6,50.3,Yes,7.1,51.4,Pass
Riya_99,19,3.3,60.0,63.3,44.0,Yes,5.5,60.1,Pass
Anjali_100,18,2.3,58.7,55.2,56.2,Yes,6.4,48.6,Pass
Aarav_101,18,9.4,93.3,76.4,87.8,Yes,6.8,86.8,Pass
Vivaan_102,22,7.5,,73.6,95.6,Yes,6.0,79.3,Pass
Aditya_103,22,7.4,84.7,74.3,91.8,Yes,5.8,79.9,Pass
Arjun_104,22,4.9,81.3,55.7,84.0,Yes,6.9,63.6,Pass
Kabir_105,22,2.8,58.4,61.1,50.2,Yes,5.9,63.6,Pass
Rohan_106,22,2.3,62.1,35.4,58.0,Yes,7.2,39.4,Fail
Rahul_107,19,5.4,88.1,56.4,90.1,Yes,7.3,71.5,Pass
Aman_108,21,4.9,66.9,65.5,79.6,Yes,7.5,71.2,Pass
Priya_109,18,7.8,90.8,69.9,90.3,Yes,7.2,80.4,Pass
Neha_110,19,7.0,80.6,74.0,77.9,No,6.8,77.7,Pass
Ananya_111,21,4.7,78.5,,73.5,Yes,7.0,56.9,Pass
Ishita_112,19,5.0,73.6,63.7,50.7,Yes,7.8,54.3,Pass
Kavya_113,22,3.1,70.5,56.9,61.0,Yes,6.3,61.4,Pass
Sneha_114,22,10.0,84.8,78.9,79.8,Yes,7.1,74.3,Pass
Pooja_115,18,4.7,69.2,46.4,59.3,Yes,4.9,47.3,Pass
Nisha_116,21,7.3,78.8,71.1,88.2,Yes,8.0,84.7,Pass
Meera_117,22,4.8,71.0,63.6,,Yes,9.0,68.8,Pass
Simran_118,18,4.8,62.4,66.2,79.5,Yes,6.2,65.6,Pass
Riya_119,22,9.7,96.5,75.9,95.1,No,6.2,84.8,Pass
Anjali_120,18,5.4,72.4,63.1,74.3,Yes,6.6,65.2,Pass
Aarav_21,21,7.3,81.8,66.1,73.0,Yes,6.9,72.8,Pass
Nisha_76,22,6.9,79.2,77.4,62.7,Yes,8.9,64.9,Pass
Arjun_104,22,4.9,81.3,55.7,84.0,Yes,6.9,63.6,Pass
